    Elements		    BubbleSort		            SelectionSort		                InsertSort		            HeapSort		            MergeSort		            QuickSort		             RadixSort		               SmoothSort		            Timsort		                CombSort
    2^6 = 64 	    	0.00039859s (100.00%)    	0.00032630s (81.86%)    	    0.00017114s (42.94%)    	0.00013233s (33.20%)    	0.00008796s (22.07%)    	0.00008850s (22.20%)    	0.00006696s (16.80%)    	0.00013827s (34.69%)    	0.00009593s (24.07%)    	0.00013095s (32.85%)    	
    2^7 = 128 	    	0.00162640s (100.00%)    	0.00125646s (77.25%)    	    0.00065590s (40.33%)    	0.00030734s (18.90%)    	0.00019946s (12.26%)    	0.00019632s (12.07%)    	0.00012225s (7.52%)    	    0.00032440s (19.95%)    	0.00020823s (12.80%)    	0.00032383s (19.91%)    	
    2^8 = 256 	    	0.00623985s (100.00%)    	0.00505947s (81.08%)    	    0.00258325s (41.40%)    	0.00073035s (11.70%)    	0.00045773s (7.34%)    	    0.00045364s (7.27%)    	    0.00024828s (3.98%)    	    0.00077839s (12.47%)    	0.00046546s (7.46%)    	    0.00080656s (12.93%)    	
    2^9 = 512 	    	0.02558680s (100.00%)    	0.02022338s (79.04%)    	    0.01049576s (41.02%)    	0.00169199s (6.61%)     	0.00107191s (4.19%)    	    0.00105336s (4.12%)    	    0.00054150s (2.12%)    	    0.00184805s (7.22%)    	    0.00106325s (4.16%)    	    0.00196202s (7.67%)    	
    2^10 = 1024 		0.11147225s (100.00%)    	0.08488669s (76.15%)    	    0.04320691s (38.76%)    	0.00405059s (3.63%)     	0.00242186s (2.17%)    	    0.00237079s (2.13%)    	    0.00107949s (0.97%)    	    0.00422359s (3.79%)    	    0.00231738s (2.08%)    	    0.00477839s (4.29%)    	
    2^11 = 2048 		0.45184107s (100.00%)    	0.33983357s (75.21%)    	    0.17143195s (37.94%)    	0.00900073s (1.99%)     	0.00530393s (1.17%)    	    0.00512042s (1.13%)    	    0.00216351s (0.48%)    	    0.00890255s (1.97%)    	    0.00487332s (1.08%)    	    0.01085114s (2.40%)    	
    2^12 = 4096 		1.73049839s (100.00%)    	1.31879683s (76.21%)    	    0.68451648s (39.56%)    	0.01942585s (1.12%)     	0.01169050s (0.68%)    	    0.01089153s (0.63%)    	    0.00428669s (0.25%)    	    0.01986482s (1.15%)    	    0.01044981s (0.60%)    	    0.02258627s (1.31%)    	
    2^13 = 8192 		7.01852415s (100.00%)    	5.36032069s (76.37%)    	    2.75180833s (39.21%)    	0.04305830s (0.61%)     	0.02514460s (0.36%)    	    0.02340147s (0.33%)    	    0.00900772s (0.13%)    	    0.04480920s (0.64%)    	    0.02251275s (0.32%)    	    0.05466473s (0.78%)    	
    2^14 = 16384 	   28.37767096s (100.00%)      21.69252436s (76.44%)           11.24156845s (39.61%)    	0.09397674s (0.33%)     	0.05517509s (0.19%)    	    0.05031009s (0.18%)    	    0.01915548s (0.07%)    	    0.10189183s (0.36%)    	    0.04768519s (0.17%)    	    0.11974742s (0.42%)    	


    Sorted

    2^3 = 8 		   0.00000596s (30.86%)        0.00000930s (48.15%)    	        0.00000370s (19.14%)        0.00001800s (93.21%)        0.00001144s (59.26%)        0.00000799s (41.36%)        0.00001931s (100.00%)       0.00001419s (73.46%)        0.00000417s (21.60%)        0.00000751s (38.89%)    	
    2^4 = 16 		   0.00000453s (15.70%)        0.00002885s (100.00%)    	    0.00000429s (14.88%)        0.00002515s (87.19%)        0.00001585s (54.96%)        0.00001121s (38.84%)        0.00002456s (85.12%)        0.00002694s (93.39%)        0.00000501s (17.36%)        0.00001860s (64.46%)    	
    2^5 = 32 		   0.00000739s (8.83%)         0.00008368s (100.00%)    	    0.00000656s (7.83%)    	    0.00006020s (71.94%)        0.00003481s (41.60%)        0.00002420s (28.92%)        0.00003982s (47.58%)        0.00005996s (71.65%)        0.00000715s (8.55%)    	    0.00004530s (54.13%)    	
    2^6 = 64 		   0.00001407s (4.38%)         0.00032103s (100.00%)    	    0.00001228s (3.82%)    	    0.00019050s (59.34%)        0.00007594s (23.65%)        0.00005472s (17.04%)        0.00006998s (21.80%)        0.00014138s (44.04%)        0.00003636s (11.33%)        0.00011945s (37.21%)    	
    2^7 = 128 		   0.00003648s (2.68%)         0.00135899s (100.00%)    	    0.00002456s (1.81%)    	    0.00033891s (24.94%)        0.00016236s (11.95%)        0.00012231s (9.00%)    	    0.00014925s (10.98%)        0.00033915s (24.96%)        0.00005746s (4.23%)    	    0.00024307s (17.89%)    	
    2^8 = 256 		   0.00004423s (0.79%)         0.00561118s (100.00%)    	    0.00004566s (0.81%)    	    0.00075197s (13.40%)        0.00039077s (6.96%)    	    0.00031352s (5.59%)    	    0.00024939s (4.44%)    	    0.00078404s (13.97%)        0.00011814s (2.11%)    	    0.00064468s (11.49%)    	
    2^9 = 512 		   0.00008726s (0.43%)         0.02050042s (100.00%)    	    0.00013232s (0.65%)    	    0.00174892s (8.53%)    	    0.00081635s (3.98%)    	    0.00061405s (3.00%)    	    0.00053537s (2.61%)    	    0.00185323s (9.04%)    	    0.00028968s (1.41%)    	    0.00155604s (7.59%)    	
    2^10 = 1024 	   0.00017941s (0.20%)         0.08804703s (100.00%)    	    0.00020671s (0.23%)    	    0.00404930s (4.60%)    	    0.00204110s (2.32%)    	    0.00145066s (1.65%)    	    0.00107169s (1.22%)    	    0.00455356s (5.17%)    	    0.00069261s (0.79%)    	    0.00351739s (3.99%)    	
    2^11 = 2048 	   0.00035989s (0.10%)         0.34897006s (100.00%)    	    0.00037658s (0.11%)    	    0.00910842s (2.61%)    	    0.00395489s (1.13%)    	    0.00324869s (0.93%)    	    0.00209308s (0.60%)    	    0.01011884s (2.90%)    	    0.00168705s (0.48%)    	    0.00858390s (2.46%)    	
    2^12 = 4096 	   0.00074482s (0.05%)         1.49768651s (100.00%)    	    0.00129402s (0.09%)    	    0.03329694s (2.22%)    	    0.00915134s (0.61%)    	    0.00700712s (0.47%)    	    0.00436234s (0.29%)    	    0.02098656s (1.40%)    	    0.00394166s (0.26%)    	    0.01932633s (1.29%)    	
    2^13 = 8192 	   0.00152516s (0.03%)         5.56524944s (100.00%)    	    0.00173700s (0.03%)    	    0.04695511s (0.84%)    	    0.01890898s (0.34%)    	    0.01521623s (0.27%)    	    0.00895286s (0.16%)    	    0.04699254s (0.84%)    	    0.00816679s (0.15%)    	    0.04263091s (0.77%)    	
    2^14 = 16384	   0.00300670s (0.01%)        22.42431343s (100.00%)    	    0.00314987s (0.01%)    	    0.09790015s (0.44%)    	    0.04080069s (0.18%)    	    0.03406572s (0.15%)    	    0.01862407s (0.08%)    	    0.10045898s (0.45%)    	    0.01860487s (0.08%)    	    0.09427023s (0.42%)    	


	0 and 1 shuffled Array

    2^3 = 8 		    0.00000490s (45.28%)    	0.00000696s (64.23%)    	    0.00000301s (27.76%)    	0.00001033s (95.33%)        0.00001083s (100.00%)       0.00000863s (79.66%)        0.00000483s (44.62%)        0.00001073s (99.08%)        0.00000499s (46.09%)        0.00000775s (71.56%)    	
    2^4 = 16 		    0.00002420s (91.06%)    	0.00002657s (100.00%)    	    0.00000812s (30.57%)    	0.00001776s (66.82%)        0.00001505s (56.63%)        0.00001287s (48.44%)        0.00000434s (16.32%)        0.00001599s (60.16%)        0.00000820s (30.86%)        0.00001559s (58.67%)    	
